Modelo,Color,Año,Precio,Potencia,Tracción,Imagen
Focus,Azul,2020,40000,100,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Blanco,2021,50000,200,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Rojo,2020,35000,150,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Focus,Azul,2021,35000,200,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Gris,2020,35000,250,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Rojo,2021,55000,100,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Gris,2019,35000,250,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Explorer,Negro,2018,40000,200,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Rojo,2019,50000,200,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Fiesta,Negro,2020,55000,100,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Azul,2018,45000,200,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Blanco,2017,50000,250,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Gris,2020,40000,100,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Gris,2018,45000,200,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Fiesta,Azul,2019,50000,100,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Azul,2020,40000,150,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Rojo,2017,55000,150,Trasera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Blanco,2018,55000,250,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Gris,2021,55000,100,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Mustang,Azul,2019,55000,100,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Azul,2019,40000,250,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Negro,2020,40000,100,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Gris,2017,50000,200,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Azul,2020,55000,200,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Azul,2019,40000,100,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Fiesta,Azul,2018,50000,150,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Azul,2020,35000,250,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Azul,2019,40000,100,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Rojo,2020,35000,100,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Blanco,2018,45000,250,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Azul,2017,35000,200,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Negro,2019,50000,150,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Fiesta,Blanco,2017,50000,200,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Explorer,Azul,2021,45000,200,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Negro,2020,50000,250,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Azul,2017,35000,250,Delantera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Negro,2019,45000,200,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Rojo,2019,40000,150,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Mustang,Gris,2017,40000,250,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Fiesta,Blanco,2020,35000,100,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Explorer,Gris,2021,55000,150,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Rojo,2018,55000,200,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Negro,2017,55000,100,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Gris,2021,35000,250,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Azul,2017,50000,200,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Focus,Negro,2021,45000,150,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Rojo,2018,45000,200,Trasera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Fiesta,Gris,2019,40000,250,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Negro,2017,40000,250,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Blanco,2021,50000,200,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Blanco,2017,45000,250,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Blanco,2020,45000,200,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Fiesta,Blanco,2018,40000,250,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Rojo,2020,40000,250,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Rojo,2017,45000,250,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Rojo,2018,45000,200,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Rojo,2018,45000,100,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Rojo,2019,55000,200,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Azul,2021,55000,100,Delantera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Rojo,2020,45000,150,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Azul,2021,45000,150,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Blanco,2020,40000,250,Delantera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Fiesta,Negro,2021,40000,250,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Rojo,2017,50000,200,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Focus,Azul,2017,45000,200,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Blanco,2019,55000,100,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Mustang,Azul,2018,55000,200,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Azul,2021,35000,100,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Negro,2017,45000,100,Trasera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Blanco,2021,55000,100,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Azul,2017,35000,200,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Gris,2019,35000,150,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Focus,Azul,2017,40000,100,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Rojo,2019,55000,100,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Gris,2020,50000,200,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Blanco,2021,35000,100,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Mustang,Rojo,2021,45000,150,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Fiesta,Gris,2019,55000,200,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Rojo,2018,35000,100,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Gris,2019,50000,200,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Explorer,Blanco,2019,35000,150,Delantera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Fiesta,Rojo,2020,50000,150,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Azul,2020,45000,100,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Focus,Rojo,2020,35000,200,Delantera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Explorer,Rojo,2017,55000,250,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Mustang,Gris,2019,50000,200,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Rojo,2020,55000,200,Trasera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Mustang,Gris,2019,40000,200,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Fiesta,Blanco,2019,45000,250,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Fiesta,Rojo,2021,35000,250,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Blanco,2017,50000,200,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Fiesta,Gris,2018,35000,200,Delantera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Explorer,Azul,2021,50000,250,4x4,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Focus,Azul,2018,50000,250,4x4,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Mustang,Negro,2021,45000,100,4x4,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Explorer,Negro,2021,40000,200,Trasera,https://www.thedrive.com/content/2021/05/New-2021-Ford-Explorer-Timberline_03.jpg?quality=85&width=1440&quality=70
Mustang,Blanco,2020,40000,200,Delantera,https://i2.wp.com/www.keywestford.com/wp-content/uploads/sites/563/2020/07/2020-ford-mustang-ecoboost-coupe-hpp-102-1568989846.jpg
Fiesta,Azul,2018,45000,150,Trasera,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
Focus,Blanco,2017,40000,200,Trasera,https://media.whatcar.com/wc-image/2019-05/ford-focus-st-4303e.jpg
Fiesta,Blanco,2018,50000,200,4x4,https://images.carexpert.com.au/crop/1200/630/app/uploads/2020/04/2020-ford-fiesta-st-review-4.jpg
